idx,class,conversation
4717,일반 대화,"오늘 디저트는 ***말고 **으로 먹자왜 갑자기? *** 먹는다더니 하하갑자기 망고 **이 먹고 싶어서나는 티라미수 **이 좋은데그럼 망고 **을 시키고 티라미수를 추가로 시킬게그래 주면 고맙고 하하슈크림 붕어빵도 꼭 시켜 줘알았어 하하 내가 좋아하는 꿀호떡도 같이 시켜야지우리 동네에는 없는데 어디다 시켜?다행히 배달앱에 있더라고하하 배달료는 좀 비싸배달료 얼마나 받는데?여긴 거리가 좀 있어서 3,500원 이더라고ㅠㅠ"
4718,일반 대화,누나들 언제 가셔? 내일 가시나?응 키키 오늘 자고 내일간데 키키얼른 갔으면 좋겠어 ㅠㅠ키키 왜 키키너 힘들게 해?조카들도 와서 놀아주느라 너무 힘들어 ㅠㅠ애들은 지치지도 않나봐 ㅠㅠ헐 조카도 있구나 키키조카 몇살이야!지금 초등학교 1학년 ㅠㅠ 말도 되게 안들어 키키오 제일 큰 애가 초1 인거야?중학교 1학년도 있어... 키키 걘 더 말 안들어 키키아 키키 많다 조카가 몇 명이야!둘이야 키키아 진짜 얄미워 죽겠어 키키
4719,일반 대화,요새 오징어 게임이 전세계적으로 큰 인기를 끌고 있잖아?어 맞아 너무 신기하더라얼마 전에 멕시코 방송에서 패러디 했다는 얘기도 들었어그런 얘기는 진짜 전세계에 있던데맞아 미국 SNL에서도 패러디 했대이렇게 범세계적인 컨텐츠가 될 거라고 만들 때에는 생각했을까?전부 다른 나라들에서 이렇게 큰 이슈가 된다는 게 이해가 잘 안 간다그만큼 모두를 관통할만한 요소가 있었을까?이걸로 사회 논문을 써도 재밌을 거 같은데?
4720,일반 대화,나 축구 배워보려고갑자기 축구를? 운동 겸?나 축구 잘 하는데 나한테 배우지!아니 그냥 어릴 때부터 축구 좋아했거든나도 사실 축구 좋아했었어나는 안 좋아했는데 하다 보니 재밌더라고그럼 다 같이 축구동호회 하나 만들까?좋아 이름은 축.사.모축구를 사랑하는 사람들의 모임?우리 이대로 쭉 가서 월드컵까지 진출해보자일반인은 진출 못하잖아...아냐 월드컵 특별전형이 있을지도...?다음 월드컵 진짜 재밌을 듯맞아 우리가 출전해서 재밌을 듯
4721,일반 대화,"나 요즘 자세가 안좋아서 그런가 허리가 너무 아파 ㅜㅜ너 혹시 다리 꼬는 자세 많이해?응 나 다리도 많이 꼬고 아빠 다리도 자주 해 ㅜㅜ혹시 척추 교정 같은거 받아 봤어?아니, 일단 도수 치료 받아보는 건 어때?도수 치료도 한 번도 안 받아 봤는데 너 도수 치료는 받아 본거야?응 키키 나도 어깨가 안좋아서 받아봤는데 효과 엄청 좋아그럼 나도 도수 치료 받아야겠다...아프진 않아?아프기보다는 엄청 시원해 키키"
4722,일반 대화,너는 무슨 계절에 태어났어?난 여름 키키7월생이지롱~나도 7월생누나도 여름 생일이야헐 ㅠㅠ엄마가 엄청 고생했네어! 나도 7월인데 여기서 이렇게? ~ 하하키키 난 더위를 많이 타서 여름 싫은데그러게 키키7월생 주변에 은근 많다여름엔 에어컨 밑에서만 서식하면 땡이야에어컨 24시간 풀로 틀었어 키키아 당연하지...우리집도 매일 틀고 잤어나는 잘 때 제외 다 틀었어!진짜 매년 여름이 무서워얼마나 더울지 키키전기세 엄청 나오겠어 키키
4723,일반 대화,"중국에서 오징어 게임이 불법 유통되고 있잖아요.그러게요. 저도 보고싶네요 키키트레이닝복도 중국이 먼저 만들었는데, 오징어 게임이 베꼈다고 우기고 있고중국은 워낙 넓고 크니 베끼지 않아도 원래 있을 것 같은데 ㅋ오징어 게임이 인기가 있기는 한지 이슈가 많네요.그러게요 ㅋ 프랑스도 난리라고오징어게임 체험하려 7시간씩 기다리나봐요. 프랑스 시민들...그러게요 그런 기사 봤어요 팝업스토어 줄 서있다고나는 오징어 게임 전에 달고나는 미리 샀는데, 달고나도 윗돈 얹혀서 판매가 된다네요."
4724,일반 대화,요즘 알바 구하는데 진행요원 알바 괜찮으려나?오 내 동생 그거 하는데 되게 꿀알바래!아 진짜? 키키그럼 나 좀 소개시켜달라하지...자리 나오면 소개해달라고 말해볼까?고마워그 전까지 그럼 쿠팡 알바나 해야겠다 키키쿠팡 알바 힘들지는 않아?그치그래도 돈 다음날 주잖아~아 바로 바로 주는구나!그럼 좋지 !그래서 그 전까지만 잠깐 다니려고!잠깐 잠깐 하는 거는 진짜 괜찮은 알바인 거 같아!그니까!그냥 그럼 신청해서 해야겠다
4725,일반 대화,아까 할리 갈리 하던 거 같던데...어. 근데 게임규칙을 몰라서 망...ㅠ카드 나눠 갖고 한 종류의 과일이 5개면 종을 먼저 치는 게임이잖아.어쩐지... 나는 과일 종류는 생각않고 그냥 과일 갯수의 합만 생각함.시시했겠네... 키키그거 실수로 종치면 카드 1장 상대에게 줘야 하잖아.**이는 종 잘못 친거 넘어가자고... ㅋ벌써부터 요령이 생기다니. 키키그거 카드 뒤집기를 상대가 먼저 보이게끔 카드를 잘 뒤집어야함.
4726,일반 대화,루미큐브 해본 적 있어?나 잘함 나랑 같이 루미큐브 밥 먹고 할 사람?아 나는 안 할래 그거 머리 나빠서 못 해 키키음 그건 무슨 게임이야 몰라나 할래! 나랑 하자숫자 맞추는 게임 키키 상하이 마작 같은 거그 게임 잘 하는 사람들은 엄청 잘 하던데 키키아 진짜 몰라 처음 들어봐키키 나도 알려줘모바일에 일단 어플 깔고 해봐나는 그거 게임 하는 방법 몰라키키 모바일로 해도 못한다고 던질 듯아 진짜 모바일에도 그게 있구나
4727,일반 대화,나도 다욧하면 단발 할 거야ㅎ키키 다욧이랑 상관없어머리랑 키키난 있어ㅋ ㅌㅌ 키키 ㅌㅌ동글 부각키키 야 오히려 단발이 더 낫다던데 동글이들케바케임 키키얼굴형대로도 아니다키키 그런가 여튼 이제 또 머리 길고파기를 자신 있나바따까지 길러자길러바키키 난 기를 자신 있지키키 길러봐난 결혼하고 자를랭! 키키키키 그래...그래라 결혼하구 단발키키 오늘 ** 마사지 안 가나?응 오늘은 안 가 키키 토욜 안마원 예약
4728,일반 대화,이번에 회사에서 리조트 이용권 5장 받았다~와! 너네 계열사 리조트꺼?응응 직원복지로 받았어.너 언제갈꺼야? 나도 데려가주라~키키 일단은 다음달초 연휴때 갈까하는데 괜찮아?당연하지! 안괜찮아도 괜찮게 할수있지 키키좋았어! 내가 내일 출근해서 그날 예약가능한지 알아볼께~오예! 그럼 우리 둘만 가는거야?그래도 되고 아님 또 누구 같이가고싶어?애들한테 말해보고 시간된다고하면 넷이가자!좋아! 이따 단톡에서 애들한테 물어보자~
4729,일반 대화,오늘 우리 엄마 생신인데 가질 못했네다같이 가서 시끌벅쩍 축하해 드려야 하는데생신 안 챙기면 서운한데 전화는 했어?어 주말에 아파서 못 갔고 전화하고 송금했지얼굴 못 봐서 아쉽지만 최고 효도 현금 받아서 좋아하실거야바쁘다 바빠 현대 사회 니까 이해하실 거야근데 우리 엄마는 내 생일에 전화 안해우리 엄마도 잘 잊으셔엄마도 안하는데 우리 시어머니는 해시어머니라도 하셔서 다행이네난 아무도 안 하네다음에는 우리가 전화 해줄게
4730,일반 대화,강아지 키우고 싶다 키키댕댕이 구합니다강아지 키키 너무 귀여워~유튜브로 많이 본다오 강아지 유튜브는 어떤 거 있어요?잘 못 본 듯그러게 키키고양이 유튜브는 많이 봤는데 키키보더콜리 유튜브 보는데 애들이 엄청 똑똑해!아 보더콜리 진짜 개똑똑하죠 키키보더콜리 체력 끝판왕 아니가 키키보더로운 생활 보더콜리 3마리 키우는데 다 성격 다르고 이쁨 키키와 진짜 귀엽겠다 키키유튜브 이름이 보더로운 생활이에요>함 봐야겠네 키키
4731,일반 대화,오늘 세상에 무슨 일 있니...?오늘? 아직 기사를 보지 못 하였는데...사회적으로 이슈는 뉴스를 봐야 알겠어헐 그거 봤냐 던킨...?아 던킨 ㅡㅡ 미친 거 아니냐...며칠 전에 먹고 싶었는데 잘 참은 나 자신너도 봤구나?핵 충격 먹음식품 제조 공장이 그딴 식일 줄이야나 던킨 싫어해서 넘 다행오우... 함도 안 먹었니?오염되지 않았네 너그니까 그것도 던킨이 그럴 줄 몰랐어 ㅡㅡ미쳤다니까 진짜 왜 그러는 거야...
4732,일반 대화,유가 이거 너무 비싸졌다응 유가 거의 최고가 찍었다더라기름값 확인해 보셨어요?우리동네 1700원 넘었다휘발유 가격이지 그거?그렇죠 디젤은 1500정도예요진짜 오를때는 무지 빨리 올라하긴 내릴때는 진짜 미동도 없던데지금 정유사들만 제일 신났을듯유가는 왜 오르는거야?산유국들이 감산 협의 했겠지진짜 산유국 세계민폐국들임얼른 대체에너지 개발 되면 좋겠다그래서 다들 원전에 눈을 돌린듯우리 회사도 원전 해야 하는거 아닌가
4733,일반 대화,제주도 비행기 티켓 엄청 할인한다! 키키휴무 날 즉흥여행갔다올까 고민중!요즘 할인 많이 하는구나!즉흥 여행 재밌겠다!응! 할인하니까 갑자기 더 가고싶네 키키뭔가 계획안하고 떠나는 게 더 재밌는 것 같애! 키키맞아! 의외로 준비 많이 안하고 기대없이 가는게 더 재밌더라고!그러니까! 키키 그냥 고민없이 티켓 예약해버렸다!가보고 싶었던데 다 가보고 와야지~벌써 신나 키키정말 가는구나?그래도 숙소는 에약해야하지 않을까?
4734,일반 대화,형은 직업군인 할 생각 없었음?직업군인... 생각도 하기 싫은데? 키키키키 왜? 요즘 애들은 다 직군하려고 대기하고 있대아? 왜 그렇지 키키복지 때문인가어차피 지금 나와서도 취업 잘 안 되니까 차라리 하사로 들어가서 돈이라도 벌고 나오자는 애들이 많대아 그치 취업난이 문제긴 하다 ㅠ직업군인이 여러가지 복지가 있으니깐맞아 근데 나도 이 시기에 군인이었으면 하사 지원했을 거 같음 키키하긴 키키 제일 중요한 집 구하는 게 좀 수월하니깐 그렇기 하네
4735,일반 대화,너네는 사랑니가 있어?난 없어.아직 나고 있어.나 위 아래 4개가 다 있는데 심지어는 다 누워있더라.빨리 뽑아야하는거 아니야?나는 저번에 치과에 가서 검사를 했는데 자리가 이쁜 곳에 다 나고 있다고 안 뽑아도 된대.아파지면 뽑아야 하는거 아니야?사랑니가 없어서 잘 모르겠어.난 아프지도 않고 거슬리지도 않아서 안 뽑으려고.아프면 빨리 뽑으러 가야겠지?빨리 치료하는게 좋을거 같아.아프면 빨리 뽑으로 가야지.
4736,일반 대화,다들 오늘 저녁 메뉴 뭐야?내 저녁 메뉴는 집 밥!나는 아직 메뉴 고민 중이야 ㅜㅜ나도 메뉴 고민 중뭘 먹어야 할까 ㅠㅠ엄마가 주는 대로 먹어야 하는 나 ㅠㅠ그게 편하지! 맨날 뭐 먹을지 고민하는 것보다 ㅜㅜ맞아 ㅠㅠ 엄마도 입맛 없다고 하셔서 메뉴 고르는데 딱히 떠오르는 게 없어 ㅠㅠ족발 어때?!족발 좋다!족발도 괜찮긴 한데... 뭔가 아쉽...오~ 족발에 비빔 막국수 추가? 키키그렇지! 족발이랑 막국수는 세트지 키키
4737,일반 대화,"나 이제는 아빠랑 등산 옴...너네 등산 왜캐 많이 가...키키 아 어제는 엄마, 오늘은 아빠냐?아니 그냥 집에 소문이 난 거 같아...니 몸 부셔지는 거 아닌가 몰라...너 이러다 등산광 되겠다그러니까오늘은 심지어 더 높아와 아버지가 이제 딸 산 잘 탄다고 생각 하나 보네 키키키키 너희 아버님은 좋아 하셔?응 아빠도 은근 등산 좋아하네그냥 엄마랑 아빠랑 셋이 가 키키다음엔 두 분이서 같이 가면 되겠다"
4738,일반 대화,요즘엔 시술이 참 다양한 거 같아하하 어떤 시술 관련해서?이제 간단한 시술도 자연스럽게들 하는 거 같애 하하아아 하하 미용을 위해서라면 다들 많이 하는거같아예를 들어서 필러같은 거?필러에 관심이 되게 많은가 보네? 하하아직은 다들 부작용이 없으니까 잘 모르겠지?하하 그렇구만 난그 경락마사지? 받아보고싶다후후 미용은 계속 관리해도 끝이 없을 듯 하하엄청 아프다는데 하하 시원할듯나도 그런 마사지는 궁금하긴 하다 하하
4739,일반 대화,"강아지를 예전에는 분양받는 생각을 했는데, 요즘은 키운다고 하면 유기견을 키우고 싶다는 생각을 많이 하네요예. 요즘은 유기견 입양하는분들이 늘었어요분양보다 더 좋은거 같아요.저희 친정도 유기견 키우셨었어요이효리가 유기견키우며 저도 인식개선이 된듯해요.이래서 유명인들의 행실이 중요한가봐요맞아요. 반려동물도 가족인데 키우다 유기한다는거 너무 한거 같아요그들로인해 인식이 개선되고 참 좋죠.반려동물 키우다 버리는건 너무 무책임한거같아요."
4740,일반 대화,누나는 춤 말고 따로 좋아하는 운동 있어?난 배드민턴 하는 거 좋아해! 그리고 수영도 좋아해우리 예전에 했던 복싱은? 어땠어?그건 엄청나게 힘들었어. 그래도 줄넘기해서 그런지 키가 좀 크긴 하더라.성장기는 다 끝난 줄 알았는데 신기하네 하하 .나도 그런 줄 알았는데 크더라고? 키키 넌 복싱 재미있었어?나는 누나랑 해서 더 재밌던 것 같아. 수영은 또 어떨지 궁금하네.나도 너랑 해서 좋았긴 했어. 수영 재미있어!! 그리고 수영한 다음 엄청나게 배고파.
4741,일반 대화,**랑 산책당겨와서 간식챙겨줬다ㅎ크크크크내년에 잠잠해지면 가기로한 여행 알아봣니 ? 블라디블라디 보스톡 ?5/1~5/5 갔다오면 될꺼 같은데대한항공으로 가자는거지?응 그걸로오 일정은 생각한거 있어?아니 아직 암것도 생각안해봤어히히 그래? 그럼 뭐가 있는지 좀 봐야겠네내가 생각했건건 루스키섬투어랑 야경투어 발레공연정도 ?거기 인터넷 찾아보니까 딱히 할게 없다는거 같던데그러게 하루면 다본다고 하긴하드라응응 막 혹하는게 안보임
4742,일반 대화,다이어트 하시나요?마음은 항상인데...먹는걸보면 안하는 것 같아요  ㅠㅠ그쵸? 저도 체중계 위에 올라가면 늘 다짐하는데 자꾸 이것저것 땡겨요  ㅠ저는 체중계위에 올라갈 자신도 없답니다 ㅠㅠ전 화장실 앞에 있거든요...애들이 체중 재는걸 좋아해서 엄마도 올라가봐~ 가 필수 코스예요 ㅠ저도 올라가라고 하는데 엄만 안돼...한지 오래됐네요 ㅠ**님은 출산 후 체중회복? 잘 되셨나요아뇨ㅡ 억지로 뺐어요 ㅠ모유수유하면 빠진다고 하던데 다 거짓말이었어요
4743,일반 대화,원피스 봤어?오 만화 말허는거지? 나 잘 몰라 ㅠㅠ그것도 진짜 명작인데 다시 한번 볼까 생각중이야언니는 재밌게 봤더곤 하더라 하하애니메이션으로 한번 정주행 해보려고 하하그게 아직도 연재중이라니 하하주인공들이 각각 매력있어서 하하아하 난 루피밖에 몰라 키키루피 상디 조로 나미 쵸파 등등 하하 되게 다양해옹옹 고무고무~! 이거는 알지 하하하하 맞아 그거 관련 게임도 나오고 그러더라고 하하만화로 보면 더 재밌겠다ㅠㅠ
4744,일반 대화,요즘 좋아하는 연예인 있어?나는 한소희가 그렇게 예뻐 보이더라 하하나는 요새 전지현이 엄청 좋더라 ㅠ너무 이뻐 ㅠ키키 아 둘 다 인정 ㅜㅜ 넘사벽이야키키 남자 연예인 좋아하는 사람 없어?키키 나는 정해인이랑 공유 좋아해 키키잘생겼어 키키난 박효신 좋아해 ㅜㅜ 미쳤어아 진짜 공유는 너무 멋있는 거 같아 키키박효신 목소리도 ... 장난 없지가수들 콘서트 가본 적 있어?웅 키키 콘서트 가는 거 좋아해서 자주 갔어!
4745,일반 대화,니 친구 하와이 간대?그러게하와이 어찌 됨?>?엉 간다던데 키키부럽다 진짜 ㅜㅜ내 친구는 가려다가 포기 중...내 친구는 안 간다던데 하하나도 가고 싶다 ㅜㅜ얌 그거 코로나 검사도 받아야 하고넘 비싸고 복잡해서왜 못 가는데왜 포기 키키 아아완전 골치 아프던데 용기가 대단하네그냥 포기 수준제주도로 간다는아아 복잡하긴 하겠다근데 백신 패스 있자나코로나 검사를 서울 가서 받아야 한대...그니까아주 용기 대단하네
4746,일반 대화,세계적으로 전기차가 이슈인 거 같아맞아 나도 전기차 타 보고 싶다 ㅠㅠ맞아테슬라 주가만 봐도 전기차가 대세인거 같긴 해 키키키키 맞아요즘 종류도 다양하게 나오던데제네시스도 전기차 이번에 나온 것 같던데맞아진짜 몇 년 안에 다 하늘색 번호판으로 바뀔 거 같아 키키그만큼 일자리도 많이 줄어든대 ㅜ일자리도?왜 전기차 때문에?진짜?주요소가 없어지니까 그런가?왜지?웅 부품업계 타격이 엄청 크대!전기차가 부품이 적게 들어가나?
4747,일반 대화,오늘 나 혼자 산다 볼 거야?아니 나는 일찍 자려고 ㅠㅠ아 맞다 오늘 나 혼자 산다 하지 빨랑 볼 준비 해야지키키 안 보다가 요즘 재밌어 보이더라고 키키오늘 누구 나오려나 키키우영이 나온 것만 봤는데 키키오늘은 누구 게스트로 나올라나 궁금키키 오늘 키랑 기안 나온대나는 기안 뭔가 안쓰러워 ㅠㅠ기안이 진짜 안쓰럽긴 하더라...키키 기안 난 괜찮은데 키키 다들 안 좋아하더라별 관심 없었는데 초반에 욕을 엄청 먹어서 ㅠㅠ
4748,일반 대화,챙겨 먹는 약이나 영양제 있어?나는 그냥 유산균 정도?다른 건 안 먹어나는 종합 비타민 챙겨 먹어키키 난 유산균 콜라겐 오메가3 챙겨 먹어다들 생각보다 비타민 이런 거 많이 먹네?저거 먹으면 죽기 직전에 한 번 살 수 있다고 해서키키 비타민 먹으면 좋다더라키키 열심히 챙겨 먹는 중아 그래?나도 나중에 오메가3 정도는 챙겨 먹어볼까그 정도 투자는 나쁘지 않지먹어봐맞아한번 먹기 시작하니깐 계속 먹게 되더라
4749,일반 대화,메이크업 언제부터 시작했어?나는 지금도 별로 안해나는 중학생때부터 했던 것 같아메이크업하면 정말 분위기 자체가 달라지는 것 같아그건 맞지하지만 조금 불편하기도 해분위기가 확 달라지더라나는 화장한 친구 못 알아 본적도 있어나는 주로 이사배 유튜브 보면서 메이크업 연습하는데난 포니 화장법이 마음에 들더라나는 처음에 친구한테 배운 방법으로 계속 화장해화장품 하나만으로도 색다른 분위기를 연출할 수 있다는 게 참 대단해
4750,일반 대화,전세 알아보는데 전세가 너무 없다 ㅠㅠ아 진짜 요새 구하기 힘든가?응 지금 전세집 많이 없다고 하더라 키키아 나도 전세집으로 가고 싶다...월세는 돈 아까워 키키근데 요즘 전세 구하는 게 하늘에 별 따기래 키키그래도 돈이 없어서 월세 살아 나는...근데 돈 없으면 전세 살아야 해 ㅠㅠ그래야 돈 모으지 ㅠㅠ형 돈 모으자 우리 장가가야지 키키그럼 돈이라도 모아둬야 여자친구 생길 거 아니야 키키맞아 돈이 최고야 요새는 진짜...
4751,일반 대화,요즘 다들 무슨 드라마보세요?저는 요즘 마이네임 보고 있어요 키키아 한소희 나오는 거요?오 그거 저도 봤는데 재밌더라고요 키키뭔가 내용이 뻔한데 재밌긴 한 것 같아요.오징어게임은 다들 보셨어요?그거 당연히 봤죠!너무 재밌었어요 키키저도 봤어요 키키  요새 오징어게임이 완전 난리죠.맞아요 키키넷플 전세계 1위!오징어게임은 진짜 하루 만에 다 봤어요 키키저도 하루 만에 다 봤어요 키키혹시 드라마 추천해 줄 거 있나요?
4752,일반 대화,"내일 수업이 몇시간이야?4시간...  싫다... ㅠ1교시 있어?나는 화요일만 1,7교시가 있음.나는 내일 원격 주간이라 좀 한가해.같은 지역인데도 원격,  전면등교에 왜 차이를 두는지관리자 마음이라잖아.그러게. 설문조사도 않고 밀어부치고그러나 확진자 나오면 대략 낭패일텐데관리자가 알아서 책임지고 수습하겠지관리자가 책임져봤자 교사들이 힘들텐데...아침에 방역 요원은 몇명이야?2명 씩... 급식지도도 4명이고... 교사들이 넘 혹사당한다"
4753,일반 대화,나 독립하고싶어...니나이에는 독립 열두번 해도돼.서른이 넘었다!요새들어 엄마랑 갈등 최고조...나는 독립 찬성이요~너도 부모님이랑 같이 살때 엄마랑 많이 싸웠어?싸운다기보다...흠...서로 성향이 달랐지 많이 키키나 요새 미치겠어.우리엄마는 내가 무슨 고등학생인줄알아.왜? 아직도 막 간섭하고 그러셔?그정도면 말도 안해.나 통금도 있어!뭐라고? 서른넘어서 통금있는 사람 처음봤다.하...어제도 지금 서로 날선 소리 뱉고 아직까지 말한마디 안하는중!
4754,일반 대화,"저는 아직 뚜벅이이라 자가용을 고려해보진 않았는데, 형 혹시 연봉 3000~4000만 원 선에서 차를 추천해주실 수 있나요?보통은 사회 초년생이 많이 타고 다니는 차량인 아반떼나 K3가 적정해 보여,경차가 괜찮다면 경차도 추천!유지비가 적게 들거든 키키오호 감사합니다!만약 아반떼 풀옵션이랑 깡통 소나타를 골라야 하면 어떤 게 더 좋을까요?음 이런 고민은 선택을 난감하게 해 키키,금액을 정해 놓고 이 이상 안 쓴다 생각하고 차량을 정해야 할 것 같아,"
4755,일반 대화,아 요즘 너무 추워짐추운걸 좋아한다면 내 곁으로 와맞어 이게 뭐야 너무 추워서 못 움직이겠어그럼 움직이지 마 지금도 안 움직일 것 같네난 하나의 추운 날씨가 돼줄 수 있어추울땐 따뜻한 국물이 좋은데포장마차 갈래 얘들아 이따? 하하세상에 모든 추운남자를 합한 게 내 날씨야포장마차는 12시에 닫아서 안돼 ㅠㅠ아 그러네 ㅠㅠ아쉽다추울 때 밖에서 먹고 싶은디포장마차 st는 겨울이 최고지포장마차 우동 진짜 맛있는데
4756,일반 대화,이번엔 인테리어를 풍수지리에 맞게 해볼까봐풍수지리?응 키키 서점 갔다가 책 봤거든예를들면 뭐가 있는데?뭐 현관 깨끗하게 치우고 해바라기 그림 걸고해바라기는 왜?해바라기가 금전운이라고 하더라!그럼 건강운 상징하는 인테리어는 없나? 키키책을 대충 읽어서 정확하지는 않은데 사과 그림이 좋다고 했던가? 그랬던듯그래? 그럼 나도 이번에 인테리어 바꿀건데 풍수지리 책 보고 한번 해볼까?좋지! 솔직히 진짜 효과가 있을지는 모르겠지만 그래도 기분은 좀 좋을거 같지 않아?
4757,일반 대화,"다들 어떤 영화 장르를 좋아해?나는 액션을 좋아해.나는 코미디를 좋아해.오, 나는 애니메이션이 좋아.왜 그 장르를 좋아해?코미디는 분위기가 무겁지 않고 웃음 포인트가 많아서 좋아해.나는 현실적인 것보단 애니메이션처럼 판타지 같은 분위기가 좋아.액션은 보는 내내 눈이 즐거워.그럼 어떤 영화를 좋아해?나는 너의 이름은 이라는 애니메이션을 좋아해.난 마블 영화를 다 좋아해.나는 액션 코미디인데 극한 직업을 좋아해."
4758,일반 대화,단기 아르바이트로 좌담회 참석하는 것 추천해좌담회도 은근 쏠쏠하다던데좌담회가 뭐야? 직접 가야하는 거야?응 요즘은 비대면도 많긴 하지만어떻게하면 참석 할 수있어?가서 설문조사하는거야?나는 설문조사 어플이나 카페 이용해아 그렇구나 요즘 비대면이라 지방도 가능하다던데한 번 가면 얼마나 주는거야?건마다 다르긴 하는데 3만원에서 10만원정도?10만원짜리도 있구나 대박이다아니 그렇게 좋은 일자리가 있어?단기로 하면 좋더라구 공돈도 생기고
4759,일반 대화,"너 좀만 더 기다렸다 입주하지 키키키키 난 너의 검은 속셈을 알고 있지속셈? 키키아니 대체 뭐야나 집 계약 얼마 안 남아서 키키 돈 합쳐서 투룸 가려고 했지 키키저거 봐결국 자기 좋으려고난 큰 집은 필요 없는데,...내가 짐이 많아서; 키키그래도 쟤랑 같이 살면 좋을걸?난 형이랑 같이 살면 엄청 좋지!키키 그 집에서 식모로 살겠구만 ㅠㅠ키키 너도 무언갈 느꼈구나에이 하하 아니지 하하내가 열심히 도와주지"
4760,일반 대화,"5분 만에 펜션 예약 취소 했는데 위약금 9만원 냈대어 그거 봤다 키키경주에 애견펜션 맞지? 키키응응 하필 또 애견펜션이더라...넌 누가 잘못했다 생각해?그 사람 도둑놈 심보더만,강아지 추가 비용도 안 돌려줬대 키키맞재 내 생각도 그래...아니 뭐 하루 지난 것도 아니고확인 안 하고 입금한 사람도 잘못이지만 그렇게 봐주다 보면 펜션 운영도 힘들 테고,서로 합의점이 잘 필요하겠지? ㅠㅠ그러게... 근데 막 몇 시간 지나거나 그런 것도 아니고 대화하다가 안된다 해서 취소한다 한 거잖아"
4761,일반 대화,"오늘 스우파 볼거징?그거 밤에 하나?나 혹시잠들면 깨워줄랭응 10시반쯤? 오키오키어제 12시 쫌전에 깨서 다섯시에 잠 키키아헐... 너 자면 깨워야겠다야오늘 안피곤하니ㅠㅠ그냥 이게 무한반복이야ㅜ 저녁먹고 한두시간 자고 깨면 아침까지 못자고, 낮까지 멀쩡하고 집가면 개졸려그니께... 밥먹고 눕지마 누우면 그냥 자게 되는거여어제 디피 보던거 이어서 볼까?누워야 쉬는거같은데여,아냐 나 어제 조금봤고 퇴근하면서 볼껴"
4762,일반 대화,내일 어떤 게임 할까요?무슨 게임 종류 있죠?뱅이랑 보난자랑 스플랜더랑 루미큐브요맞아요. 하하게임회사인줄 알겠어요하지만 부족해요 게임이 더 필요해요저희 점심시간엔 게임 회사에요~법인카드로 사달라고 해보세요 팀장님한테게임회사로 이직하라고 하시겠죠.내일 뱅할까요?좋은데요~루미큐브가 그래도 머리 굴리는데 좋은거아닌가요?뱅은 7명까지 할 수 있어서 좋아요루미큐브는 4명밖에 못해서요맞아요. 루미큐브하면 머리 엄청 써요~
4763,일반 대화,"나 이제 자전거 타고 다니려고!오, 갑자기 왜 그런 생각을 했대?일단 우리 동네에서 움직이는 거리가 멀지 않잖아그렇긴 하지, 버스 정류장으로 3정거장 정도니까그래서 교통비가 좀 아깝더라고음, 그런데 공유 자전거도 비싸지 않아?응, 찾아 봤는데 기본 비용이 1300원이나 하더라그러면 그냥 버스를 타는 게 좋은거 아니야?그래서 생각을 해봤는데, 자전거를 구매해서 계속 타고 다니면 돈이 많이 절약될 거 같아"
4764,일반 대화,오징어 게임 때문에 전세계가 난리네 하하달고나 인기가 장난 아니야이정재가 뽑기 하는 장면이 인상적이었나 키키외국에서 국자 태워먹고 난리래아~ 달고나 만들어 먹느라고?응응 인덕션에서는 잘 안되니까 불피워서 한다고 하하외국에서 저런걸 좋아하다니 신기하다파리에서는 오징어게임 체험하려고 전날부터 노숙하더만 하하진짜 인기가 굉장하구나근데 넷플릭스로 인한 국내 수익은 미미한거 같더라고왜? 우리나라 수익률 낮게 책정되어 있나?
4765,일반 대화,너희는 제일 기억에 남는 영화가 뭐야?나는 아이언맨! 다 봤어하하 나는 해리포터! 나 판타지 진짜 너무 좋아해서아 구랭? 난 로맨스 코미디가 좋아 걍 생각 없이 웃고 재밌게 볼 수 있는 장르!헐 나도 해리포터! 최근에 오랜만에 정주행 하니까 넘 재밌엉키키 그거 정주행 하려면 날 잡고 봐야 될 텐데한 일주일은 날 잡고 봐야 할 것 같은데...나 일주일 안돼서 다 본 거 같앙 진짜 재밌엎[이모티콘]키키 일주일 날 잡고 볼랭?
4766,일반 대화,군대 솔직히 밥이라도 신경 써야 되는 거 아니냐김치에서 식칼 나오고 벌레 나오고 난리?김치에서 식칼이 나왔대?김치 뿐만 아니라 달걀 썩어있고 다른 식재료엔 곰팡이 있고 그래서 내부 고발 한 거래제발 군인들은 건들이지 말았으면 좋겠다;나라 지키러 가서 그게 무슨 똥 같은 대우야그니까군인들 얀센 주사 놓는 거 보고 진심 인간 취급 안 하는구나 했는데예비군들이 얀센 맞은 거 아니야?내 동생은 화이자 맞았어! 아닌가 내 동생 부대만 화이자 인가
